ID|SKU|Canonical Product Name|Legacy Name|Brand|Category|Size|Verification Source|Verification Status|Regulatory Status|Publish Status|Media Status|Notes
95|TBD|Kem Dưỡng Trắng Da Mặt - 8g||One Today|Kem dưỡng/chăm sóc da|8g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
96|TBD|Kem Dưỡng Trắng Giúp Mờ Các Dấu Hiệu Lão Hóa Da - 8g||One Today|Kem dưỡng/chăm sóc da|8g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
97|TBD|Kem Dưỡng Trắng Giúp Mờ Tàn Nhang - Đồi Mồi - 8g||One Today|Kem dưỡng/chăm sóc da|8g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
98|TBD|Kem Trắng Da Chống Nắng SPF50+ - 8g||One Today|Chống nắng|8g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
99|TBD|Kem Chống Nắng Dưỡng Trắng Da SPF50+ - 50g||One Today|Chống nắng|50g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
100|TBD|Smoothing and Moisturizing Body Wash - 1000g||One Today|Chăm sóc body|1000g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|Verified overlay identity; no Product Master legacy row
101|TBD|Kem Tắm Trắng Cao Cấp Ngọc Trai - 120g||One Today|Tắm trắng|120g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|Verified overlay identity; no Product Master legacy row
102|TBD|Kem Dưỡng Trắng Giúp Mờ Các Dấu Hiệu Lão Hóa Da Giúp Mờ Nếp Nhăn Da - 30g||One Today|Kem dưỡng/chăm sóc da|30g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|Verified overlay identity; no Product Master legacy row
103|TBD|Kem Trắng Da Mặt Đa Chức Năng - 30g||One Today|Kem dưỡng/chăm sóc da|30g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|Verified overlay identity; no Product Master legacy row
104|TBD|Kem Giúp Mờ Nám - 18g||Hatagold|Kem dưỡng/chăm sóc da|18g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|Verified overlay identity; no Product Master legacy row
